"id","stripe_id","user_id","category_id","name","description","price","stripe_price","promo_price","image_url","slug","weight","is_promo","is_active","created_at","updated_at"
1,prod_Ne9OONHMocVaAN,11,1,Shopska salata,Delicious shopska salad,10.0,price_1Msr5jDDl10gFnpLFSFHhR5C,0.0,"","","400",0,1,"2023-04-03 20:02:42","2023-04-03 20:02:42"
3,prod_NeUwx6UJ9P5Fqq,11,1,Shopska salata BIG,Delicious shopska salad,14.0,price_1MtBwADDl10gFnpLcnkzg9nP,0.0,"","","450",0,1,"2023-04-03 19:40:30","2023-04-03 19:40:30"
4,prod_NfAYDrFhQbH27D,11,1,Shopska salata,Delicious shopska salad,10.0,price_1MtqCvDDl10gFnpLHGcVbiQ1,0.0,"","","451",0,1,"2023-04-03 19:40:30","2023-04-03 19:40:30"
5,prod_NfAwkgLc5CAubb,11,1,Shopska salata,Delicious shopska salad,11.0,price_1N6wolDDl10gFnpLwfkLSx22,0.0,"","","452",0,1,"2023-05-12 17:19:36","2023-05-12 17:19:36"
6,prod_NesuIrjtWmjWxC,11,1,Shopska salata,Delicious shopska salad,7.0,price_1MtZF6DDl10gFnpL1F81tgCQ,0.0,"","","453",0,1,"2023-04-05 19:31:28","2023-04-05 19:31:28"
7,prod_Ne9OrM7eiIsOZk,11,1,Shopska salata,Delicious shopska salad,14.0,price_1Msr5kDDl10gFnpLFA3XYRgM,0.0,"","","454",0,1,"2023-04-03 20:02:42","2023-04-03 20:02:42"
8,prod_Ne9OiJg9VTn4Yf,11,1,Shopska salata,Delicious shopska salad,18.0,price_1Msr5kDDl10gFnpL3s2NK5in,0.0,"","","455",0,1,"2023-04-03 20:02:42","2023-04-03 20:02:42"
9,prod_NsgaznuNEWaOKz,12,5,Chicken Kebab,Chicken Kebab,5.0,price_1N6vDTDDl10gFnpLcbNXRDSU,,,,"200",,1,"2023-03-29 20:38:06","2023-03-29 20:38:06"
10,prod_NsgaYSmWt5wDG6,12,6,Pork Kebab,Pork Kebab,6.0,price_1N6vDTDDl10gFnpLxLDkI2IW,,,,"200",,1,"2023-03-29 20:39:57","2023-03-29 20:39:57"
72,prod_NeSugfAYSc1s3O,13,5,Pile s oriz 2,Pile s oriz 2,7.0,price_1Mt9yXDDl10gFnpLm9drPICK,,,,"400",,1,"2023-04-04 16:32:41","2023-04-04 16:32:41"
73,prod_NeSvb9m7aEQiPk,13,5,Pile s oriz 3,Pile s oriz 3,8.0,price_1Mt9zbDDl10gFnpLh3hDwnW2,,,,"450",,1,"2023-04-04 16:33:48","2023-04-04 16:33:48"
74,prod_NeSzNSHG6ZPHNN,13,5,Pile s oriz 3,Pile s oriz 3,9.0,price_1MtA3jDDl10gFnpLJbtYLn1W,,,,"500",,1,"2023-04-04 16:38:03","2023-04-04 16:38:03"
75,prod_NeT2KtiWcRaBHw,13,5,Pile s oriz 3,Pile s oriz 3,10.0,price_1MtA6IDDl10gFnpLsTdzhsQm,,,,"501",,1,"2023-04-04 16:40:42","2023-04-04 16:40:42"
76,prod_NeT36Njjde6a2a,13,5,Pile s oriz 3,Pile s oriz 3,11.0,price_1MtA7EDDl10gFnpLWNjIfxTJ,,,,"501",,1,"2023-04-04 16:41:40","2023-04-04 16:41:40"
77,prod_NeTBYV0r15RbD7,13,5,Pile s oriz 3,Pile s oriz 3,11.534,price_1MtAEuDDl10gFnpLWcn5eg6i,,,,"501",,1,"2023-04-04 16:49:36","2023-04-04 16:49:36"
78,prod_NeTHPU9OtVE088,13,5,Pile s oriz 3,Pile s oriz 3,12.487,price_1MtALGDDl10gFnpL5Suz2JJ2,,,,"501",,1,"2023-04-04 16:56:10","2023-04-04 16:56:10"
79,prod_NeTNWypIYlCVoI,11,5,Musaka,Musaka,5.0,price_1MtARBDDl10gFnpLLCktzdrR,,,,"400",,1,"2023-04-04 17:02:17","2023-04-04 17:02:17"
80,prod_NeTeUXfDckr2lj,11,5,Musaka,Musaka,6.0,price_1MtAhPDDl10gFnpLWyn1y2Vs,,,,"450",,1,"2023-04-04 17:19:04","2023-04-04 17:19:04"
81,prod_NeTsCijVuvIRiR,11,5,Supa,Supa,4.0,price_1MtAv1DDl10gFnpLInJPm7Xw,,,,"450",,1,"2023-04-04 17:33:07","2023-04-04 17:33:07"
82,prod_Nerb40VPi7QJtf,11,5,Pileshka Supa,Supa Pileshka,5.0,price_1MtXsLDDl10gFnpLoIm5zDAv,,,,"400",,1,"2023-04-05 15:06:23","2023-04-05 15:06:23"
84,prod_Neq0A6hodovMM3,11,5,Pileshka Supa,Supa Pileshka,6.0,price_1MtWKwDDl10gFnpLoNs8ROd6,,,,"400",,1,"2023-04-05 15:12:12","2023-04-05 15:12:12"
86,prod_NeqDzpF9PdBqHX,11,5,Pileshka Supa,Supa Pileshka,15.0,price_1MtWX6DDl10gFnpLe3pP2bDJ,,,,"400",,1,"2023-04-05 15:14:31","2023-04-05 15:14:31"
87,prod_NeoxzD9W0wEgHc,11,5,Pileshka Supa,Supa Pileshka,8.0,price_1MtVJfDDl10gFnpLuomw0yLJ,,,,"400",,1,"2023-04-05 15:19:55","2023-04-05 15:19:55"
88,prod_Nerfx7pefaqUW2,11,5,Teleshka Supa,Teleshka Supa,9.0,price_1MtXx0DDl10gFnpLv1pyki2Q,,,,"400",,1,"2023-04-05 18:08:43","2023-04-05 18:08:43"
89,prod_Nh7MP3BJKZ764M,11,5,Pileshka Supa,Pileshka Supa,6.0,price_1MvjAsDDl10gFnpLwiwRRoPk,,,,"300",,1,"2023-04-11 18:32:02","2023-04-11 18:32:02"
90,prod_NhRTCvY8hotH7E,12,6,Svinski parzholi,Svinski parzholi,7.0,price_1Mw2aODDl10gFnpLOUbZgp2e,,,,"400",,1,"2023-04-12 15:15:40","2023-04-12 15:15:40"
